Input Item,Type,Quality,Input Item Sell Price,Processed Sell Price,Increase in Value (g),Productivity (g/minute),Approximate g/day [1]
Amaranth,Veg,Regular,165,490,325,0.081,130
Amaranth,Veg,Silver,205,490,285,0.071,114
Amaranth,Veg,Gold,247,490,243,0.061,97
Amaranth,Veg,Iridium,330,490,160,0.04,64
Ancient Fruit,Fruit,Regular,605,1610,1005,0.251,402
Ancient Fruit,Fruit,Silver,755,1610,855,0.214,342
Ancient Fruit,Fruit,Gold,907,1610,703,0.176,281
Ancient Fruit,Fruit,Iridium,1210,1610,400,0.1,160
Apple,Fruit,Regular,110,350,240,0.06,96
Apple,Fruit,Silver,137,350,213,0.053,85
Apple,Fruit,Gold,165,350,185,0.046,74
Apple,Fruit,Iridium,220,350,130,0.033,52
Apricot,Fruit,Regular,55,210,155,0.039,62
Apricot,Fruit,Silver,68,210,142,0.036,57
Apricot,Fruit,Gold,82,210,128,0.032,51
Apricot,Fruit,Iridium,110,210,100,0.025,40
Artichoke,Veg,Regular,176,518,342,0.086,137
Artichoke,Veg,Silver,220,518,298,0.075,119
Artichoke,Veg,Gold,264,518,254,0.064,102
Artichoke,Veg,Iridium,352,518,166,0.042,66
Banana,Fruit,Regular,165,490,325,0.081,130
Banana,Fruit,Silver,205,490,285,0.071,114
Banana,Fruit,Gold,247,490,243,0.061,97
Banana,Fruit,Iridium,330,490,160,0.04,64
Beet,Veg,Regular,110,350,240,0.06,96
Beet,Veg,Silver,137,350,213,0.053,85
Beet,Veg,Gold,165,350,185,0.046,74
Beet,Veg,Iridium,220,350,130,0.033,52
Blackberry [2],Fruit,Regular,20,126,106,0.027,42
Blackberry [2],Fruit,Silver,25,126,101,0.025,40
Blackberry [2],Fruit,Gold,30,126,96,0.024,38
Blackberry [2],Fruit,Iridium,40,126,86,0.022,34
Blackberry,Fruit,Regular,22,126,104,0.026,42
Blackberry,Fruit,Iridium,44,126,82,0.021,33
Blackberry [2] with Bear's Knowledge,Fruit,Regular,60,126,66,0.017,26
Blackberry [2] with Bear's Knowledge,Fruit,Silver,75,126,51,0.013,20
Blackberry [2] with Bear's Knowledge,Fruit,Gold,90,126,36,0.009,14
Blackberry [2] with Bear's Knowledge,Fruit,Iridium,120,126,6,0.002,2
Blackberry with Bear's Knowledge,Fruit,Regular,66,126,60,0.015,24
Blackberry with Bear's Knowledge,Fruit,Iridium,132,126,-6,-0.002,-3
Blueberry,Fruit,Regular,55,210,155,0.039,62
Blueberry,Fruit,Silver,68,210,142,0.036,57
Blueberry,Fruit,Gold,82,210,128,0.032,51
Blueberry,Fruit,Iridium,110,210,100,0.025,40
Bok Choy,Veg,Regular,88,294,206,0.052,82
Bok Choy,Veg,Silver,110,294,184,0.046,74
Bok Choy,Veg,Gold,132,294,162,0.041,65
Bok Choy,Veg,Iridium,176,294,118,0.03,47
Broccoli,Veg,Regular,77,266,189,0.047,76
Broccoli,Veg,Silver,95,266,171,0.043,68
Broccoli,Veg,Gold,115,266,151,0.038,60
Broccoli,Veg,Iridium,154,266,112,0.028,45
Cactus Fruit [2],Fruit,Regular,75,280,205,0.051,82
Cactus Fruit [2],Fruit,Silver,93,280,187,0.047,75
Cactus Fruit [2],Fruit,Gold,112,280,168,0.042,67
Cactus Fruit [2],Fruit,Iridium,150,280,130,0.033,52
Cactus Fruit,Fruit,Regular,82,280,198,0.05,79
Cactus Fruit,Fruit,Silver,102,280,178,0.045,71
Cactus Fruit,Fruit,Gold,123,280,157,0.039,63
Cactus Fruit,Fruit,Iridium,165,280,115,0.029,46
Carrot,Veg,Regular,38,168,130,0.033,52
Carrot,Veg,Silver,47,168,121,0.03,48
Carrot,Veg,Gold,57,168,111,0.028,44
Carrot,Veg,Iridium,77,168,91,0.023,36
Cave Carrot [2],Forage,Regular,25,140,115,0.029,46
Cauliflower,Veg,Regular,192,560,368,0.092,147
Cauliflower,Veg,Silver,239,560,321,0.08,128
Cauliflower,Veg,Gold,288,560,272,0.068,109
Cauliflower,Veg,Iridium,385,560,175,0.044,70
Chanterelle [2],Forage,Regular,160,518,358,0.09,143
Chanterelle [2],Forage,Silver,200,518,318,0.08,127
Chanterelle [2],Forage,Gold,240,518,278,0.07,111
Chanterelle [2],Forage,Iridium,320,518,198,0.05,79
Cherry,Fruit,Regular,88,294,206,0.052,82
Cherry,Fruit,Silver,110,294,184,0.046,74
Cherry,Fruit,Gold,132,294,162,0.041,65
Cherry,Fruit,Iridium,176,294,118,0.03,47
Coconut [2],Fruit,Regular,100,350,250,0.063,100
Coconut [2],Fruit,Silver,125,350,225,0.056,90
Coconut [2],Fruit,Gold,150,350,200,0.05,80
Coconut [2],Fruit,Iridium,200,350,150,0.038,60
Common Mushroom [2],Forage,Regular,40,182,142,0.036,57
Common Mushroom [2],Forage,Silver,50,182,132,0.033,53
Common Mushroom [2],Forage,Gold,60,182,122,0.031,49
Common Mushroom [2],Forage,Iridium,80,182,102,0.026,41
Corn,Veg,Regular,55,210,155,0.039,62
Corn,Veg,Silver,68,210,142,0.036,57
Corn,Veg,Gold,82,210,128,0.032,51
Corn,Veg,Iridium,110,210,100,0.025,40
Cranberries,Fruit,Regular,82,280,198,0.05,79
Cranberries,Fruit,Silver,102,280,178,0.045,71
Cranberries,Fruit,Gold,123,280,157,0.039,63
Cranberries,Fruit,Iridium,165,280,115,0.029,46
Crystal Fruit [2],Fruit,Regular,150,490,340,0.085,136
Crystal Fruit [2],Fruit,Silver,187,490,303,0.076,121
Crystal Fruit [2],Fruit,Gold,225,490,265,0.066,106
Crystal Fruit [2],Fruit,Iridium,300,490,190,0.048,76
Dandelion [2],Forage,Regular,40,182,142,0.036,57
Dandelion [2],Forage,Silver,50,182,132,0.033,53
Dandelion [2],Forage,Gold,60,182,122,0.031,49
Dandelion [2],Forage,Iridium,80,182,102,0.026,41
Eggplant,Veg,Regular,66,238,172,0.043,69
Eggplant,Veg,Silver,82,238,156,0.039,62
Eggplant,Veg,Gold,99,238,139,0.035,56
Eggplant,Veg,Iridium,132,238,106,0.027,42
Fiddlehead Fern,Veg,Regular,99,322,223,0.056,89
Fiddlehead Fern,Veg,Silver,123,322,199,0.05,80
